Bill Number,Roll Call Number,Year,Congress Number,Republican Yes,Republican No,Democratic Yes,Democratic No,Other Yes,Other No
S 1466,518,2022,117,149,56,207,0,0,0
H R 7535,519,2022,117,204,3,216,0,0,0
H R 1437,523,2022,117,9,201,215,0,0,0
S 3905,524,2022,117,3,205,216,0,0,0
S 4003,525,2022,117,50,159,214,3,0,0
S 5230,526,2022,117,205,4,217,0,0,0
H R 8393,529,2022,117,16,191,217,0,0,0
H R 1948,530,2022,117,4,201,215,0,0,0
S 2333,532,2022,117,134,59,216,0,0,0
S 5168,533,2022,117,179,19,215,0,0,0
S 4926,534,2022,117,170,28,215,0,0,0
S 2834,535,2022,117,178,19,215,0,0,0
H R 1917,536,2022,117,178,19,215,0,0,0
S 3168,537,2022,117,163,33,215,0,0,0
S 3308,538,2022,117,185,11,212,1,0,0
H R 9640,539,2022,117,5,201,217,0,0,0
S 1942,540,2022,117,109,95,217,0,0,0
S 3773,541,2022,117,161,42,216,0,0,0
S 4104,542,2022,117,148,53,212,2,0,0
S 5087,543,2022,117,158,44,216,0,0,0
S 989,544,2022,117,129,71,213,0,0,0
S 1402,545,2022,117,122,79,215,0,0,0
H R 7939,546,2022,117,167,35,213,0,0,0
H R 2617,549,2022,117,9,200,216,1,0,0
H R 26,29,2023,118,219,0,1,210,0,0
H R 159,32,2023,118,217,2,205,0,0,0
H R 300,33,2023,118,220,0,205,0,0,0
H R 346,34,2023,118,217,4,207,0,0,0
H R 400,35,2023,118,206,13,205,0,0,0
H R 21,93,2023,118,220,0,1,205,0,0
H R 500,94,2023,118,215,0,204,0,0,0
H R 382,100,2023,118,220,0,0,210,0,0
H R 139,103,2023,118,218,1,3,205,0,0
H R 1226,132,2023,118,219,0,203,0,0,0
H R 1123,133,2023,118,191,22,202,0,0,0
H R 753,137,2023,118,219,0,207,0,0,0
H R 140,141,2023,118,219,0,0,206,0,0
S 619,143,2023,118,215,0,204,0,0,0
H R 1093,144,2023,118,209,0,184,4,0,0
H R 406,148,2023,118,184,33,204,0,0,0
H R 1149,189,2023,118,211,4,199,4,0,0
H R 734,192,2023,118,219,0,0,203,0,0
H R 1353,197,2023,118,214,1,208,0,0,0
H R 2811,199,2023,118,217,4,0,211,0,0
H R 676,203,2023,118,152,58,199,0,0,0
H R 1715,204,2023,118,158,50,198,0,0,0
H R 1163,211,2023,118,220,0,10,200,0,0
H R 3089,213,2023,118,212,0,200,0,0,0
H R 3091,222,2023,118,219,0,13,198,0,0
H R 2494,225,2023,118,219,0,36,175,0,0
H R 1076,228,2023,118,208,2,194,0,0,0
H R 1156,229,2023,118,205,5,195,0,0,0
H R 1669,235,2023,118,207,8,202,1,0,0
H R 2796,240,2023,118,131,67,178,0,0,0
H R 3746,243,2023,118,149,71,165,46,0,0
H R 2797,244,2023,118,206,0,177,18,0,0
H R 2793,245,2023,118,199,0,185,13,0,0
H R 2812,246,2023,118,193,10,197,0,0,0
H R 3099,251,2023,118,214,2,199,11,0,0
H R 277,265,2023,118,220,0,1,210,0,0
H R 1640,268,2023,118,220,0,29,181,0,0
H R 288,271,2023,118,219,1,1,210,0,0
H R 1606,272,2023,118,210,0,197,0,0,0
H R 3799,282,2023,118,220,0,0,209,0,0
H R 3564,289,2023,118,216,0,14,189,0,0
H R 1548,290,2023,118,199,11,199,0,0,0
H R 1096,291,2023,118,207,1,202,0,0,0
S 111,329,2023,118,207,0,193,0,0,0
H R 813,330,2023,118,191,22,195,0,0,0
H R 3941,340,2023,118,218,0,4,201,0,0
H R 3935,364,2023,118,187,31,164,38,0,0
H R 4470,366,2023,118,212,1,197,0,0,0
H R 4366,380,2023,118,219,2,0,209,0,0
H R 3152,383,2023,118,210,1,193,7,0,0
H R 589,384,2023,118,209,1,201,2,0,0
H R 1567,386,2023,118,206,4,200,0,0,0
H R 3324,387,2023,118,211,0,204,0,0,0
H R 1435,391,2023,118,214,0,8,190,0,0
H R 3981,392,2023,118,208,0,202,0,0,0
S 475,393,2023,118,209,0,200,0,0,0
H R 663,394,2023,118,177,32,201,0,0,0
S 112,399,2023,118,214,0,208,0,0,0
H R 1530,401,2023,118,214,0,209,0,0,0
H R 4665,500,2023,118,216,2,0,210,0,0
H R 5692,503,2023,118,101,117,210,0,0,0
H R 4367,505,2023,118,218,0,2,208,0,0
H R 4368,507,2023,118,191,27,0,210,0,0
H R 5525,511,2023,118,198,21,0,211,0,0
H R 5860,513,2023,118,126,90,209,1,0,0
H R 2379,514,2023,118,198,0,192,0,0,0
H R 4502,515,2023,118,198,1,196,0,0,0
H R 4394,558,2023,118,210,1,0,198,0,0
H R 340,561,2023,118,208,1,155,45,0,0
H R 4364,563,2023,118,210,0,4,197,0,0
H R 6126,577,2023,118,214,2,12,194,0,0
H R 4821,597,2023,118,212,3,1,200,0,0
H R 3774,598,2023,118,209,1,133,68,0,0
H R 1607,599,2023,118,200,1,184,0,0,0
H R 359,600,2023,118,175,24,184,0,0,0
H R 4820,621,2023,118,211,7,0,212,0,0
H R 4664,642,2023,118,216,2,4,200,0,0
H R 1105,643,2023,118,207,0,198,0,0,0
H R 593,644,2023,118,208,0,201,0,0,0
H R 6363,658,2023,118,127,93,209,2,0,0
H R 5894,675,2023,118,155,63,0,205,0,0
H R 5961,687,2023,118,217,1,90,118,0,0
H R 5283,689,2023,118,218,0,6,203,0,0
H R 1547,694,2023,118,154,61,202,0,0,0
H R 3848,695,2023,118,206,10,202,0,0,0
H R 542,696,2023,118,213,5,201,0,0,0
H R 5933,701,2023,118,215,0,31,170,0,0
H R 4468,703,2023,118,216,0,5,197,0,0
H R 3224,707,2023,118,207,0,187,0,0,0
H R 5378,708,2023,118,166,40,154,31,0,0
H R 6503,709,2023,118,191,15,185,0,0,0
S 788,712,2023,118,196,20,207,0,0,0
H R 5119,713,2023,118,213,1,207,0,0,0
H R 5524,714,2023,118,188,28,208,0,0,0
H R 4531,715,2023,118,190,26,196,11,0,0
H R 357,717,2023,118,215,0,3,203,0,0
H R 1147,718,2023,118,218,1,112,98,0,0
H R 2670,723,2023,118,147,73,163,45,0,0
H R 2365,724,2023,118,200,9,207,0,0,0
H R 788,7,2024,118,211,0,0,197,0,0
H R 5862,12,2024,118,200,9,203,0,0,0
S 3250,14,2024,118,205,7,208,0,0,0
H R 2872,15,2024,118,107,106,207,2,0,0
H R 6918,17,2024,118,214,0,0,208,0,0
H R 6914,19,2024,118,212,0,0,207,0,0
H R 5528,20,2024,118,197,0,200,0,0,0
S 3427,21,2024,118,178,20,201,0,0,0
H R 6678,27,2024,118,217,0,55,155,0,0
H R 6679,28,2024,118,215,0,207,2,0,0
H R 2754,29,2024,118,214,0,206,0,0,0
H R 7024,30,2024,118,169,47,188,23,0,0
H R 6976,31,2024,118,215,0,59,150,0,0
H R 2882,32,2024,118,148,58,202,0,0,0
H R 1727,36,2024,118,216,2,211,0,0,0
H R 2766,50,2024,118,206,6,208,0,0,0
H R 7176,52,2024,118,215,0,9,200,0,0
H R 533,53,2024,118,185,28,207,0,0,0
H R 5375,54,2024,118,173,37,206,2,0,0
H R 6544,55,2024,118,199,0,166,36,0,0
H R 7102,57,2024,118,194,16,208,0,0,0
H R 7463,58,2024,118,113,97,207,2,0,0
H R 7454,59,2024,118,191,19,210,0,0,0
H R 3391,60,2024,118,192,4,192,0,0,0
H R 3838,61,2024,118,187,12,195,0,0,0
H R 7511,66,2024,118,214,0,37,170,0,0
H R 2799,78,2024,118,212,0,0,205,0,0
H R 1752,79,2024,118,182,20,193,0,0,0
H R 6276,84,2024,118,211,2,6,201,0,0
H R 7521,86,2024,118,197,15,155,50,0,0
H R 4723,87,2024,118,174,29,191,1,0,0
H R 7520,91,2024,118,212,0,202,0,0,0
H R 1121,93,2024,118,214,0,15,188,0,0
H R 6009,95,2024,118,213,0,3,200,0,0
H R 1836,98,2024,118,188,24,205,0,0,0
H R 7023,101,2024,118,211,1,2,204,0,0
H R 1023,104,2024,118,208,1,1,203,0,0
S 2051,106,2024,118,202,0,204,0,0,0
S 382,110,2024,118,194,15,207,0,0,0
H R 7888,120,2024,118,117,86,142,42,0,0
H R 6408,121,2024,118,203,1,179,10,0,0
H R 5921,123,2024,118,206,1,88,104,0,0
H R 6245,126,2024,118,215,1,204,3,0,0
H R 6015,127,2024,118,213,1,195,12,0,0
H R 5917,128,2024,118,214,1,205,3,0,0
H R 6603,130,2024,118,215,1,191,18,0,0
H R 5826,131,2024,118,215,1,176,33,0,0
H R 3033,132,2024,118,213,1,194,15,0,0
H R 4639,136,2024,118,123,90,96,109,0,0
H R 6046,137,2024,118,213,1,72,134,0,0
H R 4691,138,2024,118,212,1,66,140,0,0
H R 5947,139,2024,118,212,1,47,159,0,0
H R 6323,140,2024,118,212,1,59,146,0,0
H R 3602,143,2024,118,210,0,5,199,0,0
H R 8038,145,2024,118,186,25,174,33,0,0
H R 8036,146,2024,118,178,34,207,0,0,0
H R 8035,151,2024,118,101,112,210,0,0,0
H R 8034,152,2024,118,193,21,173,37,0,0
H R 4866,153,2024,118,150,48,191,0,0,0
H R 4755,154,2024,118,162,36,192,0,0,0
H R 529,155,2024,118,208,0,194,6,0,0
H R 4824,156,2024,118,164,43,200,1,0,0
H R 4877,157,2024,118,131,75,202,0,0,0
H R 6093,158,2024,118,190,19,204,0,0,0
H R 3738,159,2024,118,199,10,204,0,0,0
H R 4016,160,2024,118,209,0,204,0,0,0
H R 1767,161,2024,118,202,6,204,0,0,0
H R 3397,165,2024,118,209,1,3,201,0,0
H R 615,167,2024,118,207,3,7,198,0,0
H R 764,169,2024,118,205,4,4,201,0,0
H R 3195,171,2024,118,210,0,2,203,0,0
H R 6090,172,2024,118,187,21,133,70,0,0
H R 6285,174,2024,118,209,1,5,198,0,0
H R 2925,175,2024,118,6,204,204,0,0,0
